                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3076,                 6.2446,                 4.2472,                  9e-05,                0.00633,                0.00068,                0.00014,                 4.6466,                 4.4945,                 4.1399,               0.003306,               0.003306,               0.003306
                      2,                  3.549,                 5.2138,                 3.5046,                0.40472,                0.05667,                0.01714,                 0.0054,                 3.0249,                 4.1565,                  3.073,              0.0066361,              0.0066361,              0.0066361
                      3,                 2.9406,                 3.8655,                 2.5971,                0.46024,                0.18363,                0.04916,                0.01466,                 2.6189,                 3.5877,                 2.2721,              0.0099628,              0.0099628,              0.0099628
                      4,                  2.621,                 2.9623,                 2.1457,                0.36767,                0.21061,                0.21321,                0.09587,                 2.4156,                 2.6357,                 2.0759,              0.0099851,              0.0099851,              0.0099851
                      5,                 2.3599,                 2.3277,                 1.9014,                0.76746,                0.37384,                0.37727,                0.18819,                 2.0346,                 1.9517,                 1.7705,              0.0099802,              0.0099802,              0.0099802
                      6,                 2.1599,                 1.9589,                 1.7472,                0.67136,                0.41947,                0.50275,                0.26451,                 1.8951,                 1.4216,                 1.6379,              0.0099753,              0.0099753,              0.0099753
                      7,                 2.0389,                 1.7169,                  1.664,                0.63097,                  0.481,                0.47672,                0.26555,                 1.8067,                 1.6756,                 1.5659,              0.0099703,              0.0099703,              0.0099703
                      8,                 1.9316,                   1.57,                 1.5946,                0.80081,                0.46537,                0.48449,                0.28478,                  1.743,                 1.3184,                 1.5159,              0.0099654,              0.0099654,              0.0099654
                      9,                 1.8685,                 1.4475,                 1.5283,                  0.829,                0.46745,                0.54499,                0.30773,                 1.7309,                 1.2354,                 1.4915,              0.0099604,              0.0099604,              0.0099604
                     10,                 1.8188,                  1.379,                 1.4996,                0.83027,                0.48535,                0.50951,                0.30707,                 1.6711,                 1.1485,                 1.4483,              0.0099555,              0.0099555,              0.0099555
                     11,                 1.7564,                 1.2859,                 1.4573,                0.86751,                0.48518,                0.51431,                0.30928,                 1.6251,                 1.1232,                 1.4434,              0.0099505,              0.0099505,              0.0099505
                     12,                  1.717,                  1.223,                 1.4293,                0.80563,                0.49618,                0.52108,                0.31098,                 1.6722,                 1.1392,                 1.4454,              0.0099456,              0.0099456,              0.0099456
                     13,                 1.7125,                 1.2058,                 1.4028,                0.84552,                0.52312,                0.57439,                0.35174,                 1.6128,                 1.0306,                  1.394,              0.0099406,              0.0099406,              0.0099406
                     14,                 1.6653,                 1.1542,                 1.3837,                 0.8646,                0.52575,                 0.5602,                0.33152,                 1.5941,                 1.0202,                 1.3842,              0.0099357,              0.0099357,              0.0099357
                     15,                 1.6393,                 1.1258,                 1.3755,                0.71813,                0.58711,                0.61175,                0.37867,                 1.5621,                 0.9809,                 1.3704,              0.0099307,              0.0099307,              0.0099307
